ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
306,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026043.ProductionInstallation",2017,"210372"
307,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026045.ProductionInstallation",2017,"210372"
308,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026046.ProductionInstallation",2017,"210372"
309,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026047.ProductionInstallation",2017,"210372"
310,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026048.ProductionInstallation",2017,"210372"
311,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1901003779.ProductionInstallation",2017,"533"
312,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900001604.ProductionInstallation",2017,"58931104"
313,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005878.ProductionInstallation",2017,"404"
314,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005880.ProductionInstallation",2017,"415"
315,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005887.ProductionInstallation",2017,"432"
316,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013001.ProductionInstallation",2017,"60631104"
317,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013002.ProductionInstallation",2017,"60631104"
318,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005959.ProductionInstallation",2017,"206161"
319,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000006055.ProductionInstallation",2017,"428"
320,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026389.ProductionInstallation",2017,"428"
321,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000006064.ProductionInstallation",2017,"302"
322,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010700.ProductionInstallation",2017,"302"
323,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010701.ProductionInstallation",2017,"302"
324,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000006078.ProductionInstallation",2017,"444"
325,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000006104.ProductionInstallation",2017,"475"
326,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013029.ProductionInstallation",2017,"60731104"
327,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013030.ProductionInstallation",2017,"60731104"
328,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000006130.ProductionInstallation",2017,"405"
329,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026268.ProductionInstallation",2017,"405"
330,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1901000625.ProductionInstallation",2017,"405"
331,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008017.ProductionInstallation",2017,"370"
332,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008019.ProductionInstallation",2017,"365"
333,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010435.ProductionInstallation",2017,"168"
334,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008104.ProductionInstallation",2017,"424"
335,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008157.ProductionInstallation",2017,"296"
336,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008164.ProductionInstallation",2017,"301"
337,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008165.ProductionInstallation",2017,"303"
338,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008170.ProductionInstallation",2017,"307"
339,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010697.ProductionInstallation",2017,"307"
340,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900020188.ProductionInstallation",2017,"307"
341,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008187.ProductionInstallation",2017,"298"
